ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,period,Unnamed: 0
139,170,124,2,3,2,6,137,12,54,-100,74,2021-07-06T08:30:00.0000000Z,PT30M,
146,285,65,2,3,1,24,145,12,49,-107,76,2021-07-06T09:00:00.0000000Z,PT30M,
132,389,27,1,1,0,71,130,14,45,-114,80,2021-07-06T09:30:00.0000000Z,PT30M,
135,460,24,1,1,0,105,133,14,41,-122,82,2021-07-06T10:00:00.0000000Z,PT30M,
159,502,35,1,1,0,134,157,14,38,-132,80,2021-07-06T10:30:00.0000000Z,PT30M,
176,468,41,1,1,0,80,175,14,35,-142,78,2021-07-06T11:00:00.0000000Z,PT30M,
205,458,62,2,2,0,52,203,12,32,-154,75,2021-07-06T11:30:00.0000000Z,PT30M,
260,491,63,4,5,0,64,256,12,31,-167,70,2021-07-06T12:00:00.0000000Z,PT30M,
361,579,144,12,14,1,140,348,12,30,179,59,2021-07-06T12:30:00.0000000Z,PT30M,
438,659,217,33,38,2,289,405,12,31,166,49,2021-07-06T13:00:00.0000000Z,PT30M,
493,716,269,61,72,6,451,432,12,32,153,42,2021-07-06T13:30:00.0000000Z,PT30M,
523,747,298,99,121,10,625,424,12,35,141,36,2021-07-06T14:00:00.0000000Z,PT30M,
530,753,308,129,164,12,739,401,14,38,131,32,2021-07-06T14:30:00.0000000Z,PT30M,
665,681,582,438,583,352,631,227,16,42,122,10,2021-07-06T15:00:00.0000000Z,PT30M,
647,691,412,470,665,145,812,177,16,46,113,6,2021-07-06T15:30:00.0000000Z,PT30M,
565,630,399,363,554,127,786,202,16,50,106,10,2021-07-06T16:00:00.0000000Z,PT30M,
463,564,314,228,382,75,771,234,16,54,99,18,2021-07-06T16:30:00.0000000Z,PT30M,
316,492,165,65,122,7,742,251,16,59,93,35,2021-07-06T17:00:00.0000000Z,PT30M,
273,418,144,55,119,8,678,218,16,63,87,34,2021-07-06T17:30:00.0000000Z,PT30M,
240,343,112,58,150,7,658,181,14,68,81,30,2021-07-06T18:00:00.0000000Z,PT30M,
201,267,102,59,180,12,563,142,14,72,75,24,2021-07-06T18:30:00.0000000Z,PT30M,
147,182,75,54,244,12,556,92,14,77,70,19,2021-07-06T19:00:00.0000000Z,PT30M,
94,115,47,31,182,12,400,63,14,81,64,18,2021-07-06T19:30:00.0000000Z,PT30M,
46,56,22,12,71,6,159,34,12,85,59,19,2021-07-06T20:00:00.0000000Z,PT30M,
10,12,5,2,12,0,24,8,12,88,53,19,2021-07-06T20:30:00.0000000Z,PT30M,
0,0,0,0,0,0,0,0,12,92,47,20,2021-07-06T21:00:00.0000000Z,PT30M,
0,0,0,0,0,0,0,0,12,95,41,21,2021-07-06T21:30:00.0000000Z,PT30M,
0,0,0,0,0,0,0,0,12,98,34,21,2021-07-06T22:00:00.0000000Z,PT30M,
0,0,0,0,0,0,0,0,12,100,28,21,2021-07-06T22:30:00.0000000Z,PT30M,
